Density,leniency,index,performance
2_8,8,2,0,0
13_1,1,13,0,0
1_5,5,1,0,0
6_4,4,6,0,0
0_8,8,0,0,0
6_5,5,6,0,0
17_5,5,17,0,0
4_0,0,4,0,0
12_3,3,12,0,0
2_4,4,2,0,0
2_6,6,2,0,0
8_3,3,8,0,0
15_1,1,15,0,0
11_3,3,11,0,0
2_1,1,2,0,0
13_3,3,13,0,0
4_6,6,4,0,0
4_3,3,4,0,0
14_2,2,14,0,0
1_4,4,1,0,0
5_1,1,5,0,0
3_12,12,3,0,0
3_4,4,3,0,0
4_4,4,4,0,0
8_4,4,8,0,0
6_3,3,6,0,0
1_10,10,1,0,0
5_3,3,5,0,0
3_5,5,3,0,0
13_0,0,13,0,0
2_12,12,2,0,0
17_4,4,17,0,0
8_2,2,8,0,0
3_1,1,3,0,0
0_1,1,0,0,0
9_3,3,9,0,0
0_4,4,0,0,0
0_3,3,0,0,0
1_2,2,1,0,0
2_3,3,2,0,0
7_7,7,7,0,0
13_2,2,13,0,0
0_2,2,0,0,0
4_5,5,4,0,0
4_1,1,4,0,0
0_9,9,0,0,0
3_2,2,3,0,0
6_2,2,6,0,0
9_0,0,9,0,0
8_0,0,8,0,0
5_8,8,5,0,0
1_9,9,1,0,0
2_11,11,2,0,0
0_5,5,0,0,0
14_1,1,14,0,0
7_1,1,7,0,0
1_16,16,1,0,0
14_0,0,14,0,0
3_3,3,3,0,0
3_7,7,3,0,0
1_13,13,1,0,0
12_0,0,12,0,0
5_10,10,5,0,0
16_2,2,16,0,0
11_1,1,11,0,0
0_10,10,0,0,0
7_2,2,7,0,0
4_10,10,4,0,0
1_1,1,1,0,0
7_0,0,7,0,0
5_5,5,5,0,0
0_6,6,0,0,0
4_7,7,4,0,0
1_3,3,1,0,0
6_6,6,6,0,0
1_6,6,1,0,0
5_2,2,5,0,0
10_0,0,10,0,0
3_0,0,3,0,0
4_8,8,4,0,0
7_3,3,7,0,0
15_0,0,15,0,0
0_12,12,0,0,0
12_1,1,12,0,0
2_5,5,2,0,0
4_2,2,4,0,0
2_9,9,2,0,0
5_7,7,5,0,0
5_0,0,5,0,0
15_2,2,15,0,0
8_1,1,8,0,0
0_7,7,0,0,0
1_7,7,1,0,0
3_10,10,3,0,0
0_0,0,0,0,0
10_3,3,10,0,0
5_4,4,5,0,0
2_2,2,2,0,0
3_9,9,3,0,0
6_0,0,6,0,0
5_6,6,5,0,0
3_6,6,3,0,0
2_7,7,2,0,0
15_3,3,15,0,0
4_11,11,4,0,0
9_4,4,9,0,0
11_0,0,11,0,0
5_9,9,5,0,0
5_12,12,5,0,0
8_5,5,8,0,0
1_11,11,1,0,0
2_0,0,2,0,0
14_3,3,14,0,0
7_8,8,7,0,0
3_8,8,3,0,0
1_8,8,1,0,0
7_6,6,7,0,0
1_12,12,1,0,0
10_1,1,10,0,0
0_11,11,0,0,0
16_3,3,16,0,0
9_2,2,9,0,0
3_13,13,3,0,0
4_12,12,4,0,0
1_0,0,1,0,0
7_4,4,7,0,0
9_1,1,9,0,0
4_9,9,4,0,0
1_14,14,1,0,0
2_10,10,2,0,0
8_7,7,8,0,0
11_2,2,11,0,0
6_7,7,6,0,0
2_13,13,2,0,0
6_1,1,6,0,0
3_11,11,3,0,0
10_2,2,10,0,0
17_2,2,17,0,0
16_4,4,16,0,0
8_8,8,8,0,0
10_4,4,10,0,0
0_14,14,0,0,0
2_16,16,2,0,0
15_4,4,15,0,0
8_6,6,8,0,0
7_5,5,7,0,0
6_10,10,6,0,0
6_8,8,6,0,0
12_2,2,12,0,0
4_13,13,4,0,0
17_3,3,17,0,0
3_14,14,3,0,0
11_4,4,11,0,0
10_6,6,10,0,0
0_13,13,0,0,0
11_5,5,11,0,0
8_9,9,8,0,0
9_7,7,9,0,0
2_14,14,2,0,0
9_5,5,9,0,0
12_5,5,12,0,0
10_5,5,10,0,0
1_15,15,1,0,0
12_4,4,12,0,0
3_16,16,3,0,0
9_6,6,9,0,0
2_15,15,2,0,0
4_16,16,4,0,0
7_9,9,7,0,0
5_14,14,5,0,0
5_13,13,5,0,0
4_14,14,4,0,0
10_7,7,10,0,0
4_15,15,4,0,0
5_11,11,5,0,0
16_1,1,16,0,0
11_6,6,11,0,0
18_2,2,18,0,0
12_6,6,12,0,0
6_9,9,6,0,0
3_15,15,3,0,0
7_10,10,7,0,0
6_15,15,6,0,0
5_15,15,5,0,0
18_3,3,18,0,0
13_4,4,13,0,0
6_14,14,6,0,0
6_11,11,6,0,0
14_4,4,14,0,0
6_12,12,6,0,0
1_17,17,1,0,0